tax_id	GeneID	Symbol	LocusTag	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations	Modification_date	Feature_type
33	5961935	pMF1.7	pMF1.7	pMX1.7	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961936	pMF1.6	pMF1.6	pMX1.6	-	-	-	putative mucin-associated surface protein	protein-coding	-	-	-	-	20120826	-
33	5961937	pMF1.23	pMF1.23	pMX1.23	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961938	pMF1.13	pMF1.13	pMX1.13	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961939	pMF1.1	pMF1.1	pMX1.1	-	-	-	putative APEG precursor protein	protein-coding	-	-	-	-	20141024	-
33	5961940	pMF1.9	pMF1.9	pMX1.9	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961941	pMF1.5	pMF1.5	pMX1.5	-	-	-	putative RTX toxin-related Ca2+-binding protein	protein-coding	-	-	-	-	20120826	-
33	5961942	pMF1.10	pMF1.10	pMX1.10	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961943	pMF1.21	pMF1.21	pMX1.21	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961944	pMF1.8	pMF1.8	pMX1.8	-	-	-	putative glycoside hydrolase, family 19	protein-coding	-	-	-	-	20160924	-
33	5961945	pMF1.20c	pMF1.20c	pMX1.20c	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20160924	-
33	5961946	pMF1.4	pMF1.4	pMX1.4	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961947	pMF1.14	pMF1.14	pMX1.14	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961948	pMF1.2	pMF1.2	pMX1.2	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20160924	-
33	5961949	pMF1.18	pMF1.18	pMX1.18	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961950	pMF1.16	pMF1.16	pMX1.16	-	-	-	putative resolvase	protein-coding	-	-	-	-	20160924	-
33	5961951	pMF1.11	pMF1.11	pMX1.11	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5961952	pMF1.15	pMF1.15	pMX1.15	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20160924	-
33	5961953	pMF1.3	pMF1.3	pMX1.3	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20120826	-
33	5999886	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Micrococcus fulvus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20090921	-
34	4126706	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20190406	-
41	9909664	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Chondromyces aurantiacus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20161230	-
56	5814795	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Polyangium cellulosum; Polyangium compositum; Sorangium compositum; Sorangium nigrescens; Sorangium nigrum.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20190406	-
65	5740022	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20170826	-
104	11040315	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Flectobacillus marinus; Microcyclus marinus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20181128	-
106	10894418	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20180825	-
108	8746215	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20100529	-
119	10271570	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Planctomyces brasiliensis.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20150503	-
120	9406683	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Planctomyces limnophilus; Planctopirus limnophilus.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20150512	-
125	8716550	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20181022	-
128	10178741	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Isocystis pallida; Torulopsidosira pallida.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20151128	-
139	1343044	orf01	cp18-2_p02	-	-	-	-	pseudo	pseudo	-	-	-	-	20180129	-
139	1343045	orf02	cp18-2_p03	-	-	-	-	ORF02	protein-coding	-	-	-	-	20180331	-
139	1343046	orf03	cp18-2_p04	-	-	-	-	ORF03	protein-coding	-	-	-	-	20180129	-
139	1343047	orf04	cp18-2_p05	-	-	-	-	ORF04	protein-coding	-	-	-	-	20180129	-
139	1343048	orf05	cp18-2_p06	-	-	-	-	ORF05	protein-coding	-	-	-	-	20180331	-
139	1343049	orf06	cp18-2_p07	-	-	-	-	ORF06	protein-coding	-	-	-	-	20180331	-
139	1343050	orf07	cp18-2_p08	-	-	-	-	ORF07/2.9 ORF5	protein-coding	-	-	-	-	20180129	-
139	1343051	orf08	cp18-2_p09	-	-	-	-	ORF08/2.9 ORF6	protein-coding	-	-	-	-	20180129	-
139	1343052	orf09	cp18-2_p10	-	-	-	-	ORF09/2.9 ORF7	protein-coding	-	-	-	-	20180129	-
139	1343053	orf10	cp18-2_p11	-	-	-	-	ORF10/2.9 ORF8	protein-coding	-	-	-	-	20180129	-
139	1343054	orf11/blyA	cp18-2_p12	-	-	-	-	hemolysin subunit A	protein-coding	-	-	-	hemolysin subunit A|ORF11/BlyA	20180129	-
139	1343055	orf12/blyB	cp18-2_p13	-	-	-	-	hemolysin subunit B	protein-coding	-	-	-	hemolysin subunit B|ORF12/BlyB	20180129	-
139	1343056	orf13	cp18-2_p14	-	-	-	-	ORF13/2.9 ORFC	protein-coding	-	-	-	-	20180129	-
139	1343057	orf14	cp18-2_p15	-	-	-	-	ORF14/2.9 ORFD	protein-coding	-	-	-	-	20180129	-
139	1343058	orf15	cp18-2_p16	-	-	-	-	ORF15/rep+	protein-coding	-	-	-	-	20180129	-
139	1343059	orf16	cp18-2_p17	-	-	-	-	ORF16/rep-	protein-coding	-	-	-	-	20180129	-
139	1343060	orf17/2.9-9 lp	cp18-2_p18	-	-	-	-	ORF17/2.9-9 lipoprotein	protein-coding	-	-	-	-	20180129	-
139	1343061	orf18	cp18-2_p19	-	-	-	-	ORF18/36 kDa	protein-coding	-	-	-	-	20180129	-
139	1343062	orf19	cp18-2_p20	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343063	orf20	cp18-2_p21	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343064	orf21	cp18-2_p22	-	-	-	-	putative partioning protein	protein-coding	-	-	-	putative partioning protein|hypothetical protein	20180129	-
139	1343065	orf22	cp18-2_p23	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343066	orf23/bdrA	cp18-2_p24	-	-	-	-	direct repeat protein	protein-coding	-	-	-	direct repeat protein|ORF23/BdrA	20180331	-
139	1343067	orf24	cp18-2_p25	-	-	-	-	ORF24	protein-coding	-	-	-	-	20180129	-
139	1343068	orf25	cp18-2_p26	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343069	orf26	cp18-2_p27	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343070	orf27	cp18-2_p28	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343071	orf28/p21	cp18-2_p29	-	-	-	-	ORF28/p21	protein-coding	-	-	-	-	20180129	-
139	1343072	orf29/elpB2	cp18-2_p30	-	-	-	-	ORF29/ElpB2	protein-coding	-	-	-	-	20180331	-
139	1343073	orf30	cp18-2_p31	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343074	orf31	cp18-2_p32	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	1343075	orf32	cp18-2_p01	-	-	-	-	hypothetical protein	protein-coding	-	-	-	-	20180129	-
139	2827859	NEWENTRY	-	-	-	-	-	Record to support submission of GeneRIFs for a gene not in Gene (Borrelia burdorferi; Borrelia burgdorferi; Borrelia burgdorferi sensu stricto; Borrelia burgdorffragment; Lyme disease spirochete.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).	other	-	-	-	-	20190202	-
139	4362664	Ip21p11	Ip21p11	-	-	-	-	ORF 9	protein-coding	-	-	-	ORF 9|hypothetical protein	20180129	-
139	4362665	Ip21p04	Ip21p04	-	-	-	-	ORF 7b	protein-coding	-	-	-	ORF 7b|hypothetical protein	20180129	-
139	4362666	Ip21p01	Ip21p01	-	-	-	-	ORF X	protein-coding	-	-	-	ORF X|hypothetical protein	20180129	-
139	4362667	Ip21p02	Ip21p02	-	-	-	-	ORF 6	protein-coding	-	-	-	ORF 6|hypothetical protein	20180129	-
139	4362668	Ip21p03	Ip21p03	-	-	-	-	ORF 7a	protein-coding	-	-	-	ORF 7a|hypothetical protein	20180129	-
139	4362669	Ip21p05	Ip21p05	-	-	-	-	ORF 8	protein-coding	-	-	-	ORF 8|hypothetical protein	20180129	-
139	4362670	Ip21p06	Ip21p06	-	-	-	-	ORF 1	protein-coding	-	-	-	ORF 1|hypothetical protein	20180129	-
139	4362671	Ip21p07	Ip21p07	-	-	-	-	ORF 2	protein-coding	-	-	-	ORF 2|hypothetical protein	20180129	-
139	4362672	Ip21p08	Ip21p08	-	-	-	-	ORF 3	protein-coding	-	-	-	ORF 3|hypothetical protein	20180129	-
