tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_term	PubMed	Category
3702	814640	GO:0009567	IMP	-	double fertilization forming a zygote and endosperm	1563469915634699	Process
3702	814640	GO:0009977	IBA	-	proton motive force dependent protein transmembrane transporter activity	2187363521873635	Function
3702	814640	GO:0009977	ISS	-	proton motive force dependent protein transmembrane transporter activity	1202938912029389	Function
3702	814640	GO:0010027	IMP	-	thylakoid membrane organization	1152624511526245	Process
3702	814640	GO:0031361	IDA	-	integral component of thylakoid membrane	1920721019207210	Component
3702	814640	GO:0033281	IBA	-	TAT protein transport complex	2187363521873635	Component
3702	814640	GO:0033281	IDA	-	TAT protein transport complex	1893008218930082	Component
3702	814640	GO:0043235	IDA	-	receptor complex	1920721019207210	Component
3702	814640	GO:0043953	IBA	-	protein transport by the Tat complex	2187363521873635	Process
3702	814640	GO:0065002	IBA	-	intracellular protein transmembrane transport	2187363521873635	Process
3702	814641	GO:0000808	ISS	-	origin recognition complex	1617964616179646	Component
3702	814641	GO:0005515	IPI	-	protein binding	1617964616179646	Function
3702	814641	GO:0005524	IEA	-	ATP binding	-	Function
3702	814641	GO:0005634	ISM	-	nucleus	-	Component
3702	814641	GO:0006260	ISS	-	DNA replication	1617964616179646	Process
3702	814642	GO:0003723	IBA	-	RNA binding	2187363521873635	Function
3702	814642	GO:0005634	IBA	-	nucleus	2187363521873635	Component
3702	814642	GO:0005634	ISM	-	nucleus	-	Component
3702	814643	GO:0004332	IBA	-	fructose-bisphosphate aldolase activity	2187363521873635	Function
3702	814643	GO:0004332	ISS	-	fructose-bisphosphate aldolase activity	1072555910725559|21782461	Function
3702	814643	GO:0005739	HDA	-	mitochondrion	2888738128887381	Component
3702	814643	GO:0005739	IDA	-	mitochondrion	1249283212492832|14671022|18385124	Component
3702	814643	GO:0005829	IBA	-	cytosol	2187363521873635	Component
3702	814643	GO:0006094	ISS	-	gluconeogenesis	2178246121782461	Process
3702	814643	GO:0006096	IBA	-	glycolytic process	2187363521873635	Process
3702	814643	GO:0006096	IEA	-	glycolytic process	-	Process
3702	814643	GO:0006096	ISS	-	glycolytic process	2178246121782461	Process
3702	814643	GO:0006098	TAS	-	pentose-phosphate shunt	-	Process
3702	814643	GO:0006979	IDA	-	response to oxidative stress	1249283212492832	Process
3702	814643	GO:0009507	HDA	-	chloroplast	2529375625293756	Component
3702	814643	GO:0009507	IDA	-	chloroplast	1843148118431481	Component
3702	814643	GO:0009507	ISM	-	chloroplast	-	Component
3702	814643	GO:0009507	ISS	-	chloroplast	1072555910725559	Component
3702	814643	GO:0009534	IDA	-	chloroplast thylakoid	2006158020061580	Component
3702	814643	GO:0009536	IDA	-	plastid	2292367822923678	Component
3702	814643	GO:0009570	IDA	-	chloroplast stroma	2006158020061580	Component
3702	814643	GO:0010287	IDA	-	plastoglobule	1641495916414959|16461379	Component
3702	814643	GO:0030388	IBA	-	fructose 1,6-bisphosphate metabolic process	2187363521873635	Process
3702	814643	GO:0046686	IEP	-	response to cadmium ion	1650246916502469	Process
3702	814644	GO:0004842	TAS	-	ubiquitin-protein transferase activity	1206280212062802	Function
3702	814644	GO:0005515	IPI	-	protein binding	1264603912646039	Function
3702	814644	GO:0005634	IDA	-	nucleus	2147836721478367	Component
3702	814644	GO:0005634	ISM	-	nucleus	-	Component
3702	814644	GO:0005737	IDA	-	cytoplasm	2147836721478367	Component
3702	814644	GO:0005739	ISM	-	mitochondrion	-	Component
3702	814644	GO:0009738	IEA	-	abscisic acid-activated signaling pathway	-	Process
3702	814644	GO:0009789	IMP	-	positive regulation of abscisic acid-activated signaling pathway	2147836721478367	Process
3702	814644	GO:0016567	IDA	-	protein ubiquitination	2147836721478367	Process
3702	814644	GO:0016567	IEA	-	protein ubiquitination	-	Process
3702	814644	GO:0044212	IPI	-	transcription regulatory region DNA binding	2553395325533953	Function
3702	814644	GO:0046872	IEA	-	metal ion binding	-	Function
3702	814644	GO:0047484	IMP	-	regulation of response to osmotic stress	2147836721478367	Process
3702	814644	GO:0061630	IDA	-	ubiquitin protein ligase activity	2147836721478367	Function
3702	814644	GO:0071456	HEP	-	cellular response to hypoxia	3151979831519798	Process
3702	814644	GO:0080167	IEP	-	response to karrikin	2035129020351290	Process
3702	814645	GO:0005313	IDA	-	L-glutamate transmembrane transporter activity	1919910419199104	Function
3702	814645	GO:0005739	IDA	-	mitochondrion	2150126221501262	Component
3702	814645	GO:0015180	IDA	-	L-alanine transmembrane transporter activity	1919910419199104	Function
3702	814645	GO:0015181	IDA	-	arginine transmembrane transporter activity	1919910419199104	Function
3702	814645	GO:0015185	IMP	-	gamma-aminobutyric acid transmembrane transporter activity	2150126221501262	Function
3702	814645	GO:0015189	IDA	-	L-lysine transmembrane transporter activity	1919910419199104	Function
3702	814645	GO:0015812	IMP	-	gamma-aminobutyric acid transport	2150126221501262	Process
3702	814645	GO:0016021	IEA	-	integral component of membrane	-	Component
3702	814645	GO:0031966	IEA	-	mitochondrial membrane	-	Component
3702	814646	GO:0005886	IDA	-	plasma membrane	1731766017317660	Component
3702	814646	GO:0005886	ISM	-	plasma membrane	-	Component
3702	814646	GO:0005887	TAS	-	integral component of plasma membrane	1127855611278556	Component
3702	814646	GO:0006644	NAS	-	phospholipid metabolic process	-	Process
3702	814646	GO:0008195	IBA	-	phosphatidate phosphatase activity	2187363521873635	Function
