HGNC ID	Approved Symbol	Approved Name	Status	Locus Type	Locus Group	Previous Symbols	Previous Names	Synonyms	Name Synonyms	Chromosome	Date Approved	Date Modified	Date Symbol Changed	Date Name Changed	Accession Numbers	Enzyme IDs	Entrez Gene ID	Ensembl Gene ID	Mouse Genome Database ID	Specialist Database Links	Specialist Database IDs	Pubmed IDs	RefSeq IDs	Gene Family Tag	Gene family description	Record Type	Primary IDs	Secondary IDs	CCDS IDs	VEGA IDs	Locus Specific Databases	Entrez Gene ID (supplied by NCBI)	OMIM ID (supplied by NCBI)	RefSeq (supplied by NCBI)	UniProt ID (supplied by UniProt)	Ensembl ID (supplied by Ensembl)	Vega ID (supplied by Vega)	UCSC ID (supplied by UCSC)	Mouse Genome Database ID (supplied by MGI)	Rat Genome Database ID (supplied by RGD)	RNAcentral IDs (supplied by RNAcentral)	LNCipedia symbol (supplied by LNCipedia)
HGNC:9	A2MR	symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)	Symbol Withdrawn	unknown	other						1991-08-21	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:10	A2MRAP	symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)	Symbol Withdrawn	unknown	other						1993-07-13	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:30005	A3GALT2	alpha 1,3-galactosyltransferase 2	Approved	gene with protein product	protein-coding gene	A3GALT2P	"alpha 1,3-galactosyltransferase 2, pseudogene"	IGBS3S, IGB3S	"iGb3 synthase", "isoglobotriaosylceramide synthase"	1p35.1	2005-05-06	2018-02-08	2013-03-11	2013-03-11			127550	ENSG00000184389	MGI:2685279		, , , , , , , , , , , , , , , , , 	10854427, 18630988	NM_001080438	GLT6	"Glycosyltransferase family 6 domain containing"	Standard			CCDS60080	OTTHUMG00000004125		127550		NM_001080438	U3KPV4	ENSG00000184389	OTTHUMG00000004125	uc031plq.1	MGI:2685279	RGD:727913		
HGNC:18149	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	Approved	gene with protein product	protein-coding gene	P1	"alpha 1,4-galactosyltransferase (globotriaosylceramide synthase, P blood group)", "P one antigen (P blood group)"	A14GALT, Gb3S, P(k)	"Gb3 synthase", "CD77 synthase", "globotriaosylceramide synthase", "lactosylceramide 4-alpha-galactosyltransferase"	22q13.2	2002-02-06	2019-11-28		2017-03-16		2.4.1.228	53947	ENSG00000128274	MGI:3512453	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=A4GALT	, , , , , , , , , , A4GALT, , , , , , , 	10854428, 20971946	NM_017436			Standard			CCDS14041	OTTHUMG00000150744	"LRG_795|http://ftp.ebi.ac.uk/pub/databases/lrgex/pending/LRG_795.xml"	53947	607922	NM_001318038	Q9NPC4	ENSG00000128274	OTTHUMG00000150744	uc062ewl.1	MGI:3512453	RGD:621583		
HGNC:17968	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	Approved	gene with protein product	protein-coding gene			alpha4GnT		3q22.3	2004-07-12	2016-10-05			AF141315		51146	ENSG00000118017	MGI:2143261	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=A4GNT	, , , , , , , , , , A4GNT, , , , , , , 	10430883	NM_016161			Standard			CCDS3097	OTTHUMG00000159820		51146	616709	NM_016161	Q9UNA3	ENSG00000118017	OTTHUMG00000159820	uc003ers.2	MGI:2143261	RGD:1590210		
HGNC:1	A12M1	adenovirus-12 chromosome modification site 1C	Entry Withdrawn	unknown	other						1995-07-04	2019-07-31									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:2	A12M2	adenovirus-12 chromosome modification site 1A	Entry Withdrawn	unknown	other						1986-01-01	2019-08-01									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:3	A12M3	adenovirus-12 chromosome modification site 1B	Entry Withdrawn	unknown	other							2019-08-01									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:4	A12M4	adenovirus-12 chromosome modification site 17	Entry Withdrawn	unknown	other							2019-08-01									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:11	AA	symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)	Symbol Withdrawn	phenotype only	phenotype	AA	"atrophia areata, peripapillary chorioretinal degeneration"			11p15	1995-12-14	2019-07-26	2006-11-21	2006-11-21							, , , , , , , , , , , , , , , , , 	7795606				Standard																
HGNC:13666	AAAS	aladin WD repeat nucleoporin	Approved	gene with protein product	protein-coding gene		"achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)", "achalasia, adrenocortical insufficiency, alacrimia"		"aladin", "Allgrove, triple-A", "adracalin"	12q13.13	2000-11-08	2018-03-12		2015-12-14	AJ289841		8086	ENSG00000094914	MGI:2443767	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AAAS	, , , , , , , , , , AAAS, 117613, , , , , , 	11062474, 12196509		WDR	"WD repeat domain containing"	Standard			CCDS8856, CCDS53797	OTTHUMG00000169729		8086	605378	NM_001173466	Q9NRG9	ENSG00000094914	OTTHUMG00000169729	uc001scr.5	MGI:2443767	RGD:1308701		
HGNC:12	AABT	amino acid transport, beta	Entry Withdrawn	unknown	other							2019-08-01									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:13	AAC1	symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)	Symbol Withdrawn	unknown	other						1998-11-12	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:14	AAC2	symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)	Symbol Withdrawn	unknown	other						1998-11-12	2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:21298	AACS	acetoacetyl-CoA synthetase	Approved	gene with protein product	protein-coding gene			FLJ12389, SUR-5, ACSF1	"acyl-CoA synthetase family member 1"	12q24.31	2003-06-02	2015-08-24			AK022451	6.2.1.16	65985	ENSG00000081760	MGI:1926144	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AACS	, , , , , , , , , , AACS, , , , , , , 	12623130, 17762044	NM_023928	ACS	"Acyl-CoA synthetase family"	Standard			CCDS9263	OTTHUMG00000168550		65985	614364	NM_001319839	Q86V21	ENSG00000081760	OTTHUMG00000168550	uc001uhc.4	MGI:1926144	RGD:708522		
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	Approved	pseudogene	pseudogene	AACSL	"acetoacetyl-CoA synthetase-like"			5q35.3	2004-06-04	2016-10-05	2010-09-29	2010-09-29			729522	ENSG00000250420			, , , , , , , , , , , , , , , , , 		NR_024035			Standard				OTTHUMG00000163584		729522		NR_024035		ENSG00000250420	OTTHUMG00000163584					
HGNC:13792	AACT	symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)	Symbol Withdrawn	unknown	other							2019-07-26									, , , , , , , , , , , , , , , , , 					Standard																
HGNC:17	AADAC	arylacetamide deacetylase	Approved	gene with protein product	protein-coding gene		"arylacetamide deacetylase (esterase)"	DAC, CES5A1		3q25.1	1996-12-27	2018-05-03		2012-07-13	L32179	3.1.1.3	13	ENSG00000114771	MGI:1915008	http://merops.sanger.ac.uk/cgi-bin/merops.cgi?id=S09.991	, , , , , , , , , S09.991, AADAC, , , , , , , 	8063807	NM_001086			Standard			CCDS33877	OTTHUMG00000159876		13	600338	NM_001086	P22760	ENSG00000114771	OTTHUMG00000159876	uc003eze.4	MGI:1915008	RGD:631440		
HGNC:24427	AADACL2	arylacetamide deacetylase like 2	Approved	gene with protein product	protein-coding gene			MGC72001		3q25.1	2005-03-18	2018-05-03		2016-05-26	BC065724		344752	ENSG00000197953	MGI:3646333	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AADACL2	, , , , , , , , , , AADACL2, , , , , , , 	25715734	NM_207365			Standard			CCDS3161	OTTHUMG00000155914		344752		NM_207365	Q6P093	ENSG00000197953	OTTHUMG00000155914	uc003ezc.4	MGI:3646333	RGD:1563197		
HGNC:50301	AADACL2-AS1	AADACL2 antisense RNA 1	Approved	RNA, long non-coding	non-coding RNA					3q25.1	2014-04-07	2014-04-07					101928142	ENSG00000242908			, , , , , , , , , , , , , , , , , 			LNCRNA	"Long non-coding RNAs"	Standard				OTTHUMG00000159877		101928142		NR_110202		ENSG00000242908	OTTHUMG00000159877				URS000075D0ED	AADACL2-AS1
HGNC:32037	AADACL3	arylacetamide deacetylase like 3	Approved	gene with protein product	protein-coding gene			OTTHUMG00000001887		1p36.21	2006-06-30	2018-05-03		2016-05-26			126767	ENSG00000188984	MGI:2685281	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AADACL3	, , , , , , , , , , AADACL3, , , , , , , 		NM_001103170			Standard			CCDS41253	OTTHUMG00000001887		126767		NM_001103170	Q5VUY0	ENSG00000188984	OTTHUMG00000001887	uc057ckc.1	MGI:2685281	RGD:1563257		
HGNC:32038	AADACL4	arylacetamide deacetylase like 4	Approved	gene with protein product	protein-coding gene			OTTHUMG00000001889		1p36.21	2006-06-30	2018-04-17		2016-05-26			343066	ENSG00000204518		http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AADACL4	, , , , , , , , , , AADACL4, , , , , , , 		NM_001013630			Standard			CCDS30590	OTTHUMG00000001889		343066		NM_001013630	Q5VUY2	ENSG00000204518	OTTHUMG00000001889	uc001auf.3	MGI:3650257	RGD:1565761		
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	Approved	pseudogene	pseudogene					3q25.1	2014-04-07	2016-08-22					201651	ENSG00000240602		http://tables.pseudogene.org/PGOHUM00000299631	, , , , , , , , , , , , PGOHUM00000299631, , , , , 					Standard				OTTHUMG00000159879		201651		NR_026915		ENSG00000240602	OTTHUMG00000159879					
HGNC:17929	AADAT	aminoadipate aminotransferase	Approved	gene with protein product	protein-coding gene			KATII, KAT2, KYAT2	"kynurenine aminotransferase II", "L kynurenine/alpha aminoadipate aminotransferase"	4q33	2002-01-16	2016-04-26			AF097994	2.6.1.39, 2.6.1.7	51166	ENSG00000109576	MGI:1345167	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AADAT	, , , , , , , , , , AADAT, , , , , , , 	12126930, 10441733, 18056995	NM_016228			Standard			CCDS3814, CCDS75209	OTTHUMG00000160912		51166	611754	NM_001286682	Q8N5Z0	ENSG00000109576	OTTHUMG00000160912	uc032udw.1	MGI:1345167	RGD:2948		
HGNC:25662	AAGAB	alpha and gamma adaptin binding protein	Approved	gene with protein product	protein-coding gene			FLJ11506, p34		15q23	2009-07-20	2017-06-13		2017-06-13	AL136715		79719	ENSG00000103591	MGI:1914189	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AAGAB	, , , , , , , , , , AAGAB, 317366, , , , , , 	11230166, 10477754	NM_024666			Standard			CCDS42050, CCDS61679	OTTHUMG00000172246		79719	614888	NM_001271885	Q6PD74	ENSG00000103591	OTTHUMG00000172246	uc002aqk.6	MGI:1914189	RGD:621601		
HGNC:19679	AAK1	AP2 associated kinase 1	Approved	gene with protein product	protein-coding gene			KIAA1048, DKFZp686K16132		2p13.3	2003-07-21	2015-08-24			AB028971		22848	ENSG00000115977	MGI:1098687	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AAK1	, , , , , , , , , , AAK1, , , , , , , 	11877461, 12471243	NM_014911			Standard			CCDS1893	OTTHUMG00000129648		22848	616405	NM_001371575	Q2M2I8	ENSG00000115977	OTTHUMG00000129648	uc002sfp.3	MGI:1098687	RGD:1305520		
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	gene with protein product	protein-coding gene	C11orf67	"chromosome 11 open reading frame 67"	PTD015, FLJ21035, CK067		11q14.1	2006-03-27	2016-06-21	2012-10-08	2016-06-21	BC016854		28971	ENSG00000087884	MGI:1913523		, , , , , , , , , , , , , , , , , 	22279136	NM_024684			Standard			CCDS8254, CCDS81604, CCDS81605, CCDS86232	OTTHUMG00000166651		28971		NM_001316957	Q9H7C9	ENSG00000087884	OTTHUMG00000166651	uc058fuq.1	MGI:1913523	RGD:1561459		
HGNC:18	AAMP	angio associated migratory cell protein	Approved	gene with protein product	protein-coding gene					2q35	1996-11-13	2016-10-04		2015-12-08	AB209790		14	ENSG00000127837	MGI:107809	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AAMP	, , , , , , , , , , AAMP, , , , , , , 	7743515	NM_001087	WDR	"WD repeat domain containing"	Standard			CCDS33378, CCDS77530	OTTHUMG00000155202		14	603488	NM_001087	Q13685	ENSG00000127837	OTTHUMG00000155202	uc002vhk.4	MGI:107809	RGD:1306281		
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved	gene with protein product	protein-coding gene		"arylalkylamine N-acetyltransferase"	SNAT	"serotonin N-acetyltransferase"	17q25.1	1995-12-13	2014-11-19		2010-05-07	U40347	2.3.1.87	15	ENSG00000129673	MGI:1328365	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AANAT	, , , , , , , , , , AANAT, 469884, , , , , , 	8661026	NM_001088			Standard			CCDS11745, CCDS54169	OTTHUMG00000180179		15	600950	NM_001088	Q16613	ENSG00000129673	OTTHUMG00000180179	uc002jro.4	MGI:1328365	RGD:2006		
HGNC:15886	AAR2	AAR2 splicing factor	Approved	gene with protein product	protein-coding gene	C20orf4	"chromosome 20 open reading frame 4", "AAR2 splicing factor homolog (S. cerevisiae)", "AAR2 splicing factor homolog"	bA234K24.2		20q11.23	2001-06-21	2019-02-18	2012-07-20	2019-02-18			25980	ENSG00000131043	MGI:1915545		, , , , , , , , , , , , , , , , , 	26527271	NM_015511			Standard			CCDS13273	OTTHUMG00000032380		25980	617365	NM_001271874	Q9Y312	ENSG00000131043	OTTHUMG00000032380	uc002xfc.4	MGI:1915545	RGD:1311066		
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	gene with protein product	protein-coding gene	C8orf85	"chromosome 8 open reading frame 85"	LOC441376	"Alanine and arginine-rich domain-containing protein"	8q24.11	2009-01-23	2017-07-14	2012-04-19	2012-04-19	AB181519, BC140924		441376	ENSG00000205002	MGI:2181621		, , , , , , , , , , , , , , , , , 	27959439	NM_001025357			Standard			CCDS34935	OTTHUMG00000164961		441376		NM_001025357	Q4LEZ3	ENSG00000205002	OTTHUMG00000164961	uc003yof.4	MGI:2181621	RGD:631378		
HGNC:20	AARS1	alanyl-tRNA synthetase 1	Approved	gene with protein product	protein-coding gene	AARS	"alanyl-tRNA synthetase"	CMT2N, AlaRS	"alanine tRNA ligase 1, cytoplasmic"	16q22.1	1995-07-11	2019-11-28	2019-07-15	2019-07-15	D32050	6.1.1.7	16	ENSG00000090861	MGI:2384560	http://www.orpha.net/consor/cgi-bin/OC_Exp.php?Lng=GB&Expert=232194	, , , , , , , , , , , 232194, , , , , , 	8595897	NM_001605	aaRS2	"Aminoacyl tRNA synthetases / Class II"	Standard			CCDS32474	OTTHUMG00000177042	"LRG_359|http://ftp.ebi.ac.uk/pub/databases/lrgex/LRG_359.xml"	16	601065	NM_001605	P49588	ENSG00000090861	OTTHUMG00000177042	uc002eyn.2	MGI:2384560	RGD:1304832		
HGNC:49894	AARS1P1	alanyl-tRNA synthetase 1 pseudogene 1	Approved	pseudogene	pseudogene	AARSP1	"alanyl-tRNA synthetase pseudogene 1"			4q28.3	2014-03-18	2019-07-15	2019-07-15	2019-07-15				ENSG00000249038		http://tables.pseudogene.org/PGOHUM00000246081	, , , , , , , , , , , , PGOHUM00000246081, , , , , 					Standard				OTTHUMG00000161188		106480683		NG_043271		ENSG00000249038	OTTHUMG00000161188					
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	gene with protein product	protein-coding gene	AARSL	"alanyl-tRNA synthetase like", "alanyl-tRNA synthetase 2, mitochondrial (putative)"	KIAA1270, bA444E17.1	"alanine tRNA ligase 2, mitochondrial"	6p21.1	2003-05-08	2019-10-17	2007-02-23	2012-10-26	AB033096	6.1.1.7	57505	ENSG00000124608	MGI:2681839	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AARS2	, , , , , , , , , , AARS2, 269639, , , , , , 	15779907, 21549344	NM_020745	aaRS2	"Aminoacyl tRNA synthetases / Class II"	Standard			CCDS34464	OTTHUMG00000014766		57505	612035	NM_020745	Q5JTZ9	ENSG00000124608	OTTHUMG00000014766	uc010jza.2	MGI:2681839	RGD:1310617		
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved	gene with protein product	protein-coding gene			MGC2744		17q21.31	2005-11-15	2018-05-03			BC004172		80755	ENSG00000266967	MGI:1916934	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AARSD1	, , , , , , , , , , AARSD1, , , , , , , 	26884463	NM_001261434			Standard			CCDS11447, CCDS45691, CCDS58552	OTTHUMG00000153515		80755	613212	NM_001261434	Q9BTE6	ENSG00000266967	OTTHUMG00000153515	uc031raq.2	MGI:1916934	RGD:1561650		
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved	gene with protein product	protein-coding gene			NRPS998, LYS2, ACSF4	"acyl-CoA synthetase family member 4"	4q12	2007-10-17	2015-08-26			AF516672	1.2.1.31	132949	ENSG00000157426	MGI:2442517	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AASDH	, , , , , , , , , , AASDH, , , , , , , 	15865210, 12712191, 17762044	NM_181806	ACS	"Acyl-CoA synthetase family"	Standard			CCDS3504, CCDS68705, CCDS68706, CCDS75126, CCDS75127	OTTHUMG00000128841		132949	614365	NM_001286668	Q4L235	ENSG00000157426	OTTHUMG00000128841	uc003hbn.5	MGI:2442517	RGD:1311135		
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved	gene with protein product	protein-coding gene			LYS5, CGI-80, AASD-PPT, ACPS	"holo ACP synthase", "holo-[acyl-carrier-protein] synthase"	11q22.3	2000-12-21	2016-10-05			AF302110	2.7.8.7	60496	ENSG00000149313	MGI:1914868	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AASDHPPT	, , , , , , , , , , AASDHPPT, , , , , , , 	12815048, 11286508, 18022563	NM_015423			Standard			CCDS31664	OTTHUMG00000166253		60496	607756	NM_015423	Q9NRN7	ENSG00000149313	OTTHUMG00000166253	uc001pjc.2	MGI:1914868	RGD:1311360		
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved	gene with protein product	protein-coding gene			LORSDH, LKRSDH		7q31.32	2002-01-09	2016-10-05			AF229180		10157	ENSG00000008311	MGI:1353573	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AASS	, , , , , , , , , , AASS, 123389, , , , , , 	10775527	NM_005763			Standard			CCDS5783	OTTHUMG00000157058		10157	605113	NM_005763	Q9UDR5	ENSG00000008311	OTTHUMG00000157058	uc003vkb.4	MGI:1353573	RGD:1310811		
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved	RNA, long non-coding	non-coding RNA				"apoptosis-associated transcript in bladder cancer"	21q22.3	2015-02-13	2015-02-13					284837	ENSG00000215458			, , , , , , , , , , , , , , , , , 	25473900	NR_026961			Standard				OTTHUMG00000086882		284837		NR_026961		ENSG00000215458	OTTHUMG00000086882				URS000075DB22	AATBC
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved	gene with protein product	protein-coding gene			DED, CHE-1, CHE1, BFR2		17q12	2002-09-13	2015-01-29			AF083208		26574	ENSG00000275700	MGI:1929608	http://cancer.sanger.ac.uk/cosmic/gene/overview?ln=AATF	, , , , , , , , , , AATF, , , , , , , 	11027528, 10783144	NM_012138			Standard			CCDS32632	OTTHUMG00000188458		26574	608463	NM_012138	Q9NY61	ENSG00000275700	OTTHUMG00000188458	uc002hni.3	MGI:1929608	RGD:620685		
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved	gene with protein product	protein-coding gene			AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	"lemur tyrosine kinase 1", "protein phosphatase 1, regulatory subunit 77"	17q25.3	1999-09-16	2016-06-29		2016-06-09	AB014541		9625	ENSG00000181409	MGI:1197518	http://www.guidetopharmacology.org/GRAC/ObjectDisplayForward?objectId=1922	, , , , , , , objectId:1922, , , AATK, , , , , , , 	9734811, 10083745, 22573681	NM_004920			Standard			CCDS45807, CCDS58607	OTTHUMG00000132717		9625	605276	NM_001080395	Q6ZMQ8	ENSG00000181409	OTTHUMG00000132717	uc010dia.4	MGI:1197518	RGD:1590980		
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved	virus integration site	other			AAV		19q13	1990-09-10	2010-06-16			S51329		17				, , , , , , , , , , , , , , , , , 	1334463				Standard						17	102699									
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved	RNA, long non-coding	non-coding RNA			INXS	"apoptotic BCL-X-associated long ncRNA", "intronic BCL-XS-inducing lncRNA"	20q11.21	2014-03-13	2018-08-15			KC505631		103021294	ENSG00000281376			, , , , , , , , , , , , , , , , , 		NR_131907	LNCRNA, fLNCRNA	"Long non-coding RNAs", "-"	Standard				OTTHUMG00000189574		103021294		NR_131907		ENSG00000281376	OTTHUMG00000189574				URS000047716D	
